```csv
X,Y,shot_type,distance,angle,xg,player_id,is_goal
0.55,0.43,long_shot,25,30,0.12,1,0
0.72,0.61,inside_box,10,45,0.35,2,1
0.28,0.31,outside_box,20,25,0.08,3,0
0.81,0.75,header,8,60,0.41,4,1
0.15,0.18,freekick,30,15,0.05,5,0
0.65,0.52,volley,15,50,0.22,6,1
0.39,0.25,curler,28,35,0.10,7,0
0.91,0.88,tap_in,5,75,0.60,8,1
0.09,0.07,penalty,12,0,0.75,9,1
0.50,0.40,through_ball,18,40,0.18,10,0
0.78,0.68,deflected,11,55,0.30,11,1
0.22,0.15,low_shot,22,20,0.07,12,0
0.85,0.79,close_range,7,65,0.55,13,1
0.18,0.12,long_range,35,10,0.03,14,0
0.60,0.48,half_volley,16,48,0.25,15,1
0.33,0.20,power_shot,24,32,0.09,16,0
0.88,0.83,diving_header,6,70,0.50,17,1
0.05,0.03,indirect_freekick,32,12,0.02,18,0
0.58,0.46,chip,19,42,0.15,19,0
0.75,0.65,placed_shot,9,58,0.45,20,1
0.25,0.19,grounder,26,28,0.06,21,0
0.82,0.77,flick,13,52,0.38,22,1
0.12,0.09,lob,29,18,0.04,23,0
0.67,0.56,curling_shot,14,46,0.28,24,1
0.37,0.28,rising_shot,21,38,0.11,25,0
0.90,0.86,one_two,4,72,0.58,26,1
0.08,0.06,backheel,31,14,0.01,27,0
0.53,0.41,side_foot,23,31,0.13,28,0
0.70,0.60,first_time,17,49,0.32,29,1
0.20,0.14,toe_poke,27,22,0.08,30,0
0.87,0.81,header_from_corner,5,78,0.62,31,1
0.10,0.08,bicycle_kick,34,16,0.02,32,0
0.57,0.45,shot_on_turn,19,44,0.17,33,0
0.73,0.63,powerful_shot,11,51,0.37,34,1
0.27,0.22,weak_shot,24,26,0.07,35,0
0.84,0.78,close_range_header,7,68,0.53,36,1
0.07,0.04,free_kick_curler,30,13,0.03,37,0
0.62,0.50,dink,15,47,0.23,38,1
0.31,0.23,low_driven_shot,29,29,0.09,39,0
0.03,0.01,long_range_freekick,36,8,0.01,41,0
0.51,0.38,half_volley_curler,21,36,0.14,42,0
0.77,0.67,powerful_header,9,54,0.40,43,1
0.23,0.17,shot_from_deflection,26,24,0.05,44,0
0.80,0.73,close_range_volley,10,57,0.43,45,1
0.16,0.11,long_shot_curler,33,19,0.04,46,0
0.69,0.58,shot_on_the_run,14,43,0.29,47,1
0.35,0.26,driven_shot,25,34,0.10,48,0
0.92,0.89,simple_finish,3,80,0.65,49,1
0.02,0.00,long_range_free_kick,38,5,0.00,50,0
0.59,0.47,cutback,18,41,0.16,51,0
0.76,0.66,header_from_short_corner,8,62,0.48,52,1
0.29,0.24,low_driven_curler,27,27,0.08,53,0
0.86,0.80,close_range_flick,7,67,0.52,54,1
0.06,0.04,freekick_power,31,11,0.02,55,0
0.64,0.54,volley_curler,13,53,0.26,56,1
0.38,0.29,placed_low_shot,23,33,0.11,57,0
0.93,0.90,tap_in_from_cross,2,82,0.70,58,1
0.04,0.02,long_ball_shot,37,9,0.01,59,0
0.54,0.42,side_foot_shot,22,30,0.14,60,0
0.71,0.62,first_time_shot,16,45,0.34,61,1
0.26,0.21,toe_punt,28,23,0.07,62,0
0.83,0.76,header_from_corner_kick,6,69,0.51,63,1
0.01,0.00,indirect_freekick_power,35,6,0.00,64,0
0.66,0.55,chip_shot,17,44,0.27,65,1
0.40,0.30,rising_curler,20,39,0.12,66,0
0.94,0.91,simple_finish_from_cross,1,85,0.72,67,1
0.00,0.00,long_range_free_kick_power,39,4,0.00,68,0
0.56,0.44,cut_back_shot,19,37,0.15,69,0
0.74,0.64,header_from_short_corner_kick,9,56,0.42,70,1
0.30,0.25,low_curler,26,25,0.08,71,0
0.87,0.82,flick_on,5,74,0.55,72,1
0.11,0.09,free_kick_power_shot,32,10,0.03,73,0
0.61,0.49,volley_power,14,48,0.24,74,1
0.34,0.27,placed_shot_low,24,31,0.09,75,0
0.95,0.92,simple_finish_close_range,0,90,0.80,76,1
0.14,0.10,long_shot_power,31,17,0.04,77,0
0.68,0.57,shot_on_the_half_volley,15,50,0.28,78,1
0.32,0.26,driven_curler,27,28,0.08,79,0
0.88,0.84,close_range_finish,4,76,0.59,80,1
0.09,0.07,long_range_free_kick_curler,34,13,0.02,81,0
0.52,0.40,half_volley_power,20,35,0.13,82,0
0.79,0.69,powerful_header_from_cross,8,61,0.46,83,1
0.21,0.16,deflected_shot,25,21,0.06,84,0
0.85,0.78,close_range_volley_power,7,66,0.54,85,1
0.17,0.13,long_range_shot_curler,32,18,0.05,86,0
0.63,0.51,shot_on_the_break,16,47,0.25,87,1
0.36,0.28,driven_power_shot,22,36,0.11,88,0
0.91,0.87,simple_finish_from_short_pass,3,78,0.63,89,1
0.05,0.03,long_range_power,36,7,0.01,90,0
0.57,0.45,cut_back_power,18,40,0.17,91,0
0.75,0.65,header_from_corner_direct,8,63,0.49,92,1
0.28,0.23,low_driven_power_shot,25,26,0.07,93,0
0.89,0.84,flick_on_goal,6,70,0.60,94,1
0.13,0.10,freekick_power_curler,33,12,0.03,95,0
0.60,0.48,volley_power_curler,15,46,0.22,96,1
0.39,0.30,placed_shot_power,21,34,0.10,97,0
0.96,0.93,simple_finish_from_through_ball,0,95,0.85,98,1
0.12,0.09,long_shot_power_curler,30,15,0.04,99,0
0.67,0.56,shot_on_the_half_volley_power,14,52,0.27,100,1

```
