X,Y,xG,shotType,bodyPart,situation,playerReceivedBall,goal
0.35026724295945844,0.20867198908842427,0.08071420349099481,Open Play,Right Foot,,Pass,
,,0.049993702570842236,Open Play,Left Foot,Outside Box,Pass,0
0.6448728256605587,0.3988455183170722,0.12949932597963867,Set Piece,Head,Inside Box,Cross,0
0.9466598095348067,0.9075050636716141,,Open Play,Right Foot,Inside Box,Pass,1
0.27064845942132015,0.12157664316335909,0.050835329880807356,Open Play,Left Foot,Outside Box,Through Ball,0
0.6076716048906917,0.31865405278182257,0.1196422880727271,Open Play,Left Foot,Outside Box,Pass,0
0.37252681725176806,0.16291643934979433,0.059814865263041694,Set Piece,,Inside Box,Cross,
0.6448491365321772,0.4045151560992258,0.1344343277494269,,,,Cross,0
0.7899399803258211,0.5093699422874172,0.19027569973409603,Open Play,Left Foot,Inside Box,Pass,0
0.7789657594229074,0.5093613195312372,0.1702876731774046,Open Play,Right Foot,,Pass,0
0.29903559945968583,0.1994487689863014,,Open Play,Left Foot,Outside Box,Pass,0
0.5897210317150019,0.3317562136160352,0.09936068756044221,Open Play,Left Foot,Outside Box,Pass,0
0.7971428405038675,0.47018536139136763,0.1600434353939313,,Right Foot,Inside Box,Cross,0
0.5017675860117102,0.29867630279681834,,Open Play,Right Foot,,Pass,0
0.5584341564516511,0.2517634280122925,0.0805341241997439,,Right Foot,Inside Box,,0
0.896936687649472,,0.26027314750804625,Open Play,Right Foot,Inside Box,Pass,1
0.6379365994143905,0.4067624726888793,,Open Play,Right Foot,Outside Box,Pass,0
0.9301521169632327,0.8363082881550487,0.31882922020829096,Open Play,Right Foot,Inside Box,Pass,
0.7795366488097215,,0.2697580316820997,Open Play,Left Foot,Inside Box,Pass,1
0.6445822798823045,0.40685129777474754,0.13549627150586624,Open Play,Left Foot,Inside Box,,0
0.5694545133895933,0.28114207529744356,0.10943127843272302,Open Play,,Inside Box,Pass,
,0.10254484236288547,0.040003665425340076,Set Piece,Head,Outside Box,Cross,
0.3488900521115965,,0.07007983387572342,Open Play,Right Foot,Outside Box,Pass,0
0.24082792225429078,0.10205598153724232,0.04073993782521387,Open Play,,Outside Box,,0
